"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"20920","Green Blood","May 31, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AJJA","AJJA"
"20921","Final Missions","Jun 14, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Agustin Eisman Moreno","Agustin Eisman Moreno"
"20922","CanYouSurvive?","Jun 29, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PatrAwW","PatrAwW"
"20923","Rainbow Cult","Oct 25, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Death Hill Games","Death Hill Games"
"20924","Epic Helicopter","Jul 4, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Agustin Eisman Moreno","Agustin Eisman Moreno"
"20925","ATMOTECH EPISODE PRAELUDIUM","Oct 1, 2018","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ATMODEPTH","ATMODEPTH"
"20926","Claw Breaker","Aug 23, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team Klaw","Team Klaw"
"20927","Slam Land","Aug 7, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bread Machine Games","Bread Machine Games"
"20928","1 HIT KILL","Jul 19, 2018","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DV","David Vecchione"
"20929","Golem Rush","Jul 20, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Usa Com","Usa Com"
"20930","Space Hamster in Turmoil","Jul 24, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SypherZent","SypherZent"
"20931","Road Z Survival: The Last Winter","Jul 27, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Game Mavericks","GM Publishing"
"20932","Stalked at Night","Jul 18, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AquaBomber","AquaBomber"
"20933","Eat my Shuriken and Die!","Oct 26, 2012","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FlowersFX","FlowersFX"
"20934","MONOWARS: Red Zone","Aug 14, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Conquesoft","Conquesoft"
"20935","Son.Light.Sleepwalker","Nov 25, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sean J. Miller, Brenda J. Miller, Connor H. Miller","Raising Awesome"
"20936","BoxRunner","Aug 17, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChargedNeuron Entertainment, John McElhaney","ChargedNeuron Entertainment, John McElhaney"
"20937","Boom Bits","Sep 14, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Naughty Children at Play","Naughty Children at Play"
"20938","Zettavolt Trigger","Sep 5, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michael A. Rivera","Michael A. Rivera"
"20939","TailzFromTheGrave","Aug 22, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Peter Manfreda","Peter Manfreda"
"20940","Quirky Crystal RPG","Feb 20, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brewsterland Studios","Brewsterland Studios"
"20941","360 No Scope!","Aug 28, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rabid Design Studio","Rabid Design Studio"
"20942","Whacker Guy: Distance Hunter","Aug 30, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Micro Revolution LLC","Micro Revolution LLC"
"20943","Lot'zAmonsters","Sep 4, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","T_T Games","T_T Games"
"20944","Cardinal Conclave","Sep 27, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RoninGameDev","Jumpmen Gaming"
"20945","Snowball Saves Summer","Sep 26, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Goldbar Games","Goldbar Games"
"20946","Twin Synth","Oct 15, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Joe Chatfield","Joe Chatfield"
"20947","Crimson Souls","May 15, 2019","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CREBABOS","CREBABOS"
"20948","Bad Day Betsy","Sep 24, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The DF Team","Zero Brain, LLC"
"20949","Pixels Guide to Staying Dead","Jul 20, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pattern Assembled","Pattern Assembled"
"20950","TRIP","Oct 9, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pal Diaray","Pal Diaray"
"20951","Play Top Frag","Oct 10, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kajaani University of Applied Sciences","Kajaani University of Applied Sciences"
"20952","Lolly Pang VR","Oct 11, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WISECAT","WISECAT"
"20953","Impixable","Nov 13, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Flaming Bat Studios","Flaming Bat Studios"
"20954","Surrogate","Oct 23, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quiet Storm","Quiet Storm"
"20955","BlockDoc","Oct 31, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Snowdrop Lab","Snowdrop Lab"
"20956","Silver Child","Oct 30, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nemanja Milosevic","Nemanja Milosevic"
"20957","Jake and the Giant","Dec 24, 2018","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MoonShine Games","MoonShine Games"
"20958","Space Gladiator","Nov 16, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hermitown","Hermitown"
"20959","Iridescence","Dec 7, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Polarity Bear","Polarity Bear"
"20960","Duck's Inferno","Nov 5, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GROm Games","GROm Games"
"20961","Antox vs. Free Radicals","Nov 13, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Greenlynx","Greenlynx"
"20962","Temple Scramble","Nov 9, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Birdwards","Birdwards"
"20963","Duck Hunting Challenge","Dec 17, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Collision Studios","Boombox"
"20964","Galactic Incoming","Nov 14, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nifty Tools UK","Nifty Tools UK"
"20965","Goalkeeper VR Challenge","Nov 28, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SneakyBox","SneakyBox"
"20966","Singularity Shooter","Dec 24, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daniel Rychlý","Fungamesvr"
"20967","Caracoland","Dec 14, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rodrigo Bezzi, Sabine Ludvik","Rosasoft"
"20968","The Misadventures of Denniz & Diana","Feb 28, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Studio Merkas","Studio Merkas"
"20969","Antrum","Feb 14, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blank Name Games","Blank Name Games"
"20970","Kill Tiger","Mar 1, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Koopa Yao","Koopa Yao"
"20971","Space Cruise","Jan 17, 2019","$8","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ben Robinson, Andrew Ogunnaike","So and So Games"
"20972","Achievement Collector: Zombie","Jan 25, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","QUIKIN Games","QUIKIN Games"
"20973","Music of the Spheres","Sep 1, 2013","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hamish Todd","Hamish Todd"
"20974","Anti-Grav Bamboo-copter","Jan 25, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jw","Jw"
"20975","Wild Ride","Nov 18, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Devil Kitty Games","Devil Kitty Games"
"20976","Asteroid Navigation","Jan 31, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mars Industries","Mars Industries"
"20977","Arch Drift","Feb 6, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bemami, Michiel Blancquaert","Bemami"
"20978","M.C.I. Escapes","Feb 20, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KFA-Games","KFA-Games"
"20979","Micro Mayhem","Feb 8, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OctolabGames","OctolabGames"
"20980","Maze Ninja","Feb 22, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","XOAProductions","XOAProductions"
"20981","Cursor - by Mr iLyn.","Feb 22, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mr iLyn.","Mr iLyn. - Gamedev"
"20982","Ne Touchez Pas 5","Mar 2, 2019","$0.28","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Chequered Ink Ltd.","Chequered Ink Ltd."
"20983","Elephants Can't Jump","Mar 4, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Skwiggle Entertainment","Skwiggle Entertainment"
"20984","Space Bound","Mar 5, 2019","$10","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lemonpop Studios","Lemonpop Studios"
"20985","Circle Brawl","Feb 27, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","xvzan","xvzan"
"20986","VCuber","Feb 26, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MishiCat","MishiCat"
"20987","BionicBlitz","Feb 27, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TopBox Studios","TopBox Studios"
"20988","Bears in Tanks","Mar 31, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dragonside Studios","Dragonside Studios"
"20989","Stellar Sphere","May 25, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Titan Deep Space Company","Titan Deep Space Company"
"20990","Goblin Quest: Escape!","Feb 19, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BotBite Industries","BotBite Industries"
"20991","Road Rage Royale","Oct 12, 2020","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Neural Oscillations Games","Neural Oscillations Games"
"20992","Super Kittens","Mar 9, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sam Hobbs, Adam Foster, Jack Andrew","Software Development Headquarters"
"20994","Full Pitch","Mar 10, 2019","$2.5","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Casque","Casque"
"20995","Way of the Orb","Mar 23, 2020","$5","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brimstone Brothers Inc.","Brimstone Brothers Inc."
"20996","UFOGEN","Mar 20, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vladimir Pokora","Vladimir Pokora"
"20997","Agtnan: Monster Shutdown Sequence","Jul 21, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AAGH Games, LLC","AAGH Games, LLC"
"20998","Big Boot Baseball","Apr 3, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zero Brain, LLC","Zero Brain, LLC"
"20999","Dimense: Chapter 1","Mar 30, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Project.gamenimation@gmail.com","Gamenimation"
"21000","BlueGlow","Mar 28, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Santiago Ramirez","Santiago Ramirez"
"21001","Tanks Endeavor","Jul 31, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Josiah Christiansen","Josiah Christiansen"
"21002","Wolfgate","May 21, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Giancarlo Alberto Gutierrez","Giancarlo Alberto Gutierrez"
"21003","Moonlight Warrior","Apr 16, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MoonlightGames","MoonlightGames"
"21004","War of the Seraphim","May 22, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mathman21","Mathman21"
"21005","Time Warrior Z VR","Apr 10, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MaxGamerZ, Bondarius","VR A&B"
"21006","Trash Rage","Apr 26, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Giant Lazer","Giant Lazer"
"21007","BL00","May 9, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ArcPh1r3","ArcPh1r3"
"21008","Observers","Apr 9, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ShooStudios","ShooStudios"
"21009","Sqvishy","Apr 29, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","James Makes Games Ltd","James Makes Games Ltd"
"21010","Wizardas","Jun 1, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EllGames","EllGames"
"21011","Fantasy Battles","May 7, 2019","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Area VR","Area VR"
"21012","Cops Kissing Each Other","Feb 22, 2022","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hello Vikram","Hello Vikram"
"21013","Exploding Babies","Oct 27, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nutfarm Games","Nutfarm Games, パラダイムシフト"
"21014","Kaos","May 28, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Konundrum Interactive","Konundrum Interactive"
"21015","Zumou Battoru","Jun 11, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DreamlessHero","DreamlessHero"
"21016","Realmstone","Jul 25, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ravendeer","Ravendeer"
"21017","Dungeon Jump - 地牢跳跃","Jun 13, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Insular Castle Studio","Insular Castle Studio"
"21018","Tank Nova","Nov 14, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Proteinbeer","Proteinbeer"
"21019","Nebulas Lasso","Aug 2, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","STON Games","STON Games"
"21020","Qwerty's Prison","Jun 25, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ATHI","ATHI"
"21021","Pencil vs. Eraser","May 1, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Quinn Purdy, Bellringer Studios","Bellringer Studios"
"21022","Asteroid Invaders","Jul 19, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cirocco Studios","Cirocco Studios"
"21023","Dino Lost","Aug 25, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Supernova Game Studio","Supernova Game Studio"
"21024","Yet Another Waveshooter","Jun 25, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dennis M. Heine","Dennis M. Heine"
"21025","Planet Invasion","Aug 16, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TinyFox Games","TinyFox Games"
"21026","Jade's Ascension","Mar 10, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Papas con Mojo Games","Papas con Mojo Games"
"21027","G.A.M.E.S","Jul 30, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RoomsForRockets","RoomsForRockets"
"21028","Combat Overrun","Aug 28, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Assassins Corp","Assassins Corp"
"21029","Similars: Climb","Aug 7, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Specspel","Specspel"
"21030","Neonis","Aug 13, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GoldenEvolution","GoldenEvolution"
"21032","Buzz Kill Zero","Nov 15, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kaleb Parham","KaPa ENT"
"21033","SHNIPERS","Nov 15, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brenden Cameron","Brenden Cameron Games"
"21034","GarbageClassification","Jul 21, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","个人","个人"
"21035","10 Second Shuriken","Apr 29, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BajoGames","BajoGames"
"21036","Engineer Arena","Aug 14, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WaveParadigm","WaveParadigm LLC"
"21037","TREE HOUSE : AVOCADO MAYHEM","Aug 14, 2019","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Erico Patricio Monteiro","FUED"
"21038","CULT","Aug 15, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Salt & Pixel LLC","Salt & Pixel LLC"
"21039","Xentripetal Force","Sep 20, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aq","Aq"
"21040","Daaang!","Sep 25, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Snaredrum Games","Snaredrum Games"
"21041","reaktron","Aug 23, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","insitubytes, plapadoo","insitubytes, plapadoo"
"21042","Boxwrecker Arena","Sep 12, 2019","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jealous Ducks","Jealous Ducks"
"21043","Altorius","Sep 6, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","industrian","industrian"
"21044","AI Vendetta","Sep 2, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Catbyte Games","Catbyte Games"
"21045","Ship Happens","Sep 10, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daygames","Daygames"
"21046","War Battle Royale Battlegrounds","Sep 6, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Polantronic","Polantronic"
"21047","Skyrift","Sep 23, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Torchlight Games","Torchlight Games"
"21048","Chronophobia","Sep 13, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Monkehs Studios","Monkehs Studios"
"21049","Those crazy crows","Sep 28, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","redlion422","redlion422"
"21050","Spiralagon","Oct 1, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Terminal Button","Terminal Button"
"21051","Far From Orbit","Sep 22, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alexander Conway","Alexander Conway"
"21052","CuBe","Sep 27, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tala Esenlikler","Tala Esenlikler"
"21053","Android Helipad","Sep 27, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mibongo Software","Mibongo Software"
"21054","Night Guardian","Sep 30, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dapper Rabbit Games","Dapper Rabbit Games"
"21055","Roy Cluse: Itsy-Bitsy Edition","Sep 23, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Goblin & Goblin","Goblin & Goblin"
"21057","Happy STG","Sep 30, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tomoyuki Mizuma","Tomoyuki Mizuma"
"21058","Surge Radio","Oct 17, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SPICY","SPICY"
"21059","WHAT'S LEFT","Jan 6, 2020","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Djexx Markov","A. E. Southwood"
"21060","Language Worm","Oct 18, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Christopher Pollard","Christopher Pollard"
"21061","The Adventures of 00 Dilly","Feb 12, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Caipirinha Games","Toplitz Productions"
"21062","Eye Of Plunder","Nov 5, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Splendortek","Splendortek"
"21063","Final Mission VR","Nov 1, 2019","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OCIO Games","OCIO Games"
"21064","Space Space","Oct 27, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gino Di Pierro","Gino Di Pierro"
"21065","Xenrai","Dec 22, 2021","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zenith Edge Studios","Zenith Edge Studios"
"21066","Parcel Panic","Nov 6, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hernes Hunters Productions","Hernes Hunters Productions"
"21067","Dystopian Drift","Oct 24, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GO&O Studio","GO&O Studio"
"21068","Swiss Knife","Nov 3, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Norman Collonville","Norman Collonville"
"21069","Occultus Command","Jan 13, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cuco Code LLC","Cuco Code LLC"
"21070","Heart in the Dark","Nov 5, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sebastian Moratti","Sebastian Moratti"
"21071","Super Novel Collector (Speedrun Edition)","Nov 5, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Calculator Games","Calculator Games"
"21072","Il Sole e la Luna 2","Nov 3, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","UNGame Productor","UNGame Productor"
"21073","KAJA：追光者与秘境制造","Nov 10, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MIAOBOX GAMES","MIAOBOX GAMES"
"21074","I Will Be Your Eyes","Nov 14, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jake Johnson","Jake Johnson"
"21075","The Invasion of Area 51","Oct 25, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Avalon Games LLC, Xplor Studios LLC","Avalon Games LLC, Xplor Studios LLC"
"21076","The Disgusting Slaughterman","Dec 12, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RatByte Games","RatByte Games"
"21077","Sub Terra Draconis","Dec 8, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crystal Shard","Crystal Shard"
"21078","The Adventures of Willow and Ash","Nov 25, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Joe Nevells","Joe Nevells"
"21079","Kamodo Steve: Janitor on Fire!","Jul 20, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Matthew Board, SleekTiki Interactive LLC","SleekTiki Interactive LLC"
"21080","Hovershift","Mar 16, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OuroborOs_","OuroborOs_"
"21082","Hero Soul: I want to be a Hero!","Nov 16, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ryan Su Games","Ryan Su Games"
"21083","Takkyu Tournament Re:Serve","Dec 14, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CyberScherzo Studios","CyberScherzo Studios"
"21084","GASH","Nov 28, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jaden Duchene, DIY","Jaden Duchene, DIY"
"21085","Dashbot Ninja","Nov 28, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Trio Queue","Kajak Games"
"21086","Project Ara - Crucible","Jul 17, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Camptotheca Inc.","Camptotheca Inc."
"21088","Maximum Momentum","Dec 10, 2019","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Raithen","Fiery Phoenix"
"21089","Galactic Asteroids Patrol","Jan 15, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Noam Toledano, Amir Abiri","Noam Toledano"
"21090","Laser Z","Dec 13, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZA Games Studio Pty Ltd","ZA Games Studio Pty Ltd"
"21091","Skeleton vs zombies","Aug 19, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","G2","G2"
"21092","Microscope Madness","Dec 18, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nocturne Games","Nocturne Games"
"21093","Fuzzy's Quest","Jan 1, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","David J Noble","Noblesoft Developments Limited"
"21094","Legend of Streets","Jan 17, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TechNQ studio","TechNQ studio"
"21095","Tranject","Jan 1, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jadon-K. Fischer","Jadon-K. Fischer"
"21098","Trantor: The Last Stormtrooper","Jan 14, 2020","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Probe Software Ltd.","MIRROR Soft"
"21099","Gjana's World","Jan 20, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Albatross Idea","Lotus GamesTr"
"21100","Pick, shoot, repeat!","Jan 21, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wa Tran","Unknown Magic"
"21101","C.Y.S.M.A.","Jan 26, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Red Tie Guy entertaiment","Red Tie Guy entertaiment"
"21102","Humble Rumble","Jan 27, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spire Interactive","Spire Interactive"
"21103","Cube Smash","Sep 19, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vojtech Ondracek","Artin studios"
"21104","Recoil","Sep 1, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hruy Gashaw","Hruy Gashaw"
"21105","Escape From The Grim","Feb 13, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NG Smith","NG Smith"
"21106","Gravinoid","Feb 20, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hypersome Games","Hypersome Games"
"21107","Devastation - Annihilate the Alien Race","Feb 5, 2020","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Myke Wills","Enfenyx Games"
"21108","Straight Battler VI","Feb 5, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shinamon","Shinamon"
"21109","KIWAYA","Feb 21, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rogerty","Rogerty"
"21110","Yuhha: Stolen Treasure","Nov 25, 2020","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sergey Gavrilov (SG137)","Yramash Games"
"21111","SULVER'S JOURNEY","Nov 9, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vincent Acampora","Vincent Acampora"
